pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-150,d,Kepler-150 d,Transit,0,5,12.56093,3.60E-05,-3.60E-05,0,4,0.104,,,0,1,,,,,0,,,,,0,,,,,0,,0.249,0.037,-0.037,0,3,,,,,0,0,1,0,19h12m56.18s,+40d31m15.3s,288.234084,1.90E-05,40.520905,1.70E-05,2,914.4,17.46,-17.46,0,3,14.985,,0,Kepler-band,14.974,,0,5560,100,-100,0,6,,,,,1,0.94,0.14,-0.14,0,6,1,5/14/2014,Kepler
Kepler-150,e,Kepler-150 e,Transit,0,5,30.826557,0.000199,-0.000199,0,4,0.189,,,0,1,,,,,0,,,,,0,,,,,0,,0.278,0.049,-0.049,0,3,,,,,0,0,1,0,19h12m56.18s,+40d31m15.3s,288.234084,1.90E-05,40.520905,1.70E-05,2,914.4,17.46,-17.46,0,3,14.985,,0,Kepler-band,14.974,,0,5560,100,-100,0,6,,,,,1,0.94,0.14,-0.14,0,6,1,5/14/2014,Kepler
Kepler-151,b,Kepler-151 b,Transit,0,2,15.228958,3.00E-05,-3.00E-05,0,4,0.116,,,0,1,,,,,0,,,,,0,,,,,0,,0.273,0.136,-0.136,0,3,,,,,0,0,1,0,19h28m39.07s,+41d01m23.6s,292.162778,1.70E-05,41.023235,1.70E-05,2,662.19,9.82,-9.82,0,3,14.769,,0,Kepler-band,14.719,,0,5460,200,-200,0,6,,,,,2,0.83,0.41,-0.41,0,6,1,5/14/2014,Kepler
Kepler-151,c,Kepler-151 c,Transit,0,2,24.674612,0.000106,-0.000106,0,4,0.16,,,0,1,,,,,0,,,,,0,,,,,0,,0.186,0.093,-0.093,0,3,,,,,0,0,1,0,19h28m39.07s,+41d01m23.6s,292.162778,1.70E-05,41.023235,1.70E-05,2,662.19,9.82,-9.82,0,3,14.769,,0,Kepler-band,14.719,,0,5460,200,-200,0,6,,,,,2,0.83,0.41,-0.41,0,6,1,5/14/2014,Kepler
Kepler-152,b,Kepler-152 b,Transit,0,2,18.207973,2.30E-05,-2.30E-05,0,4,0.124,,,0,1,,,,,0,,,,,0,,,,,0,,0.249,0.015,-0.015,0,3,,,,,0,0,1,0,19h07m27.71s,+41d59m20.7s,286.865479,2.20E-05,41.989086,1.70E-05,2,446.77,3.19,-3.19,0,3,14.29,,0,Kepler-band,14.244,,0,5088,100,-100,0,6,,,,,1,0.72,0.04,-0.04,0,6,1,5/14/2014,Kepler
Kepler-152,c,Kepler-152 c,Transit,0,2,88.255055,0.000309,-0.000309,0,4,0.356,,,0,1,,,,,0,,,,,0,,,,,0,,0.213,0.014,-0.014,0,3,,,,,0,0,1,0,19h07m27.71s,+41d59m20.7s,286.865479,2.20E-05,41.989086,1.70E-05,2,446.77,3.19,-3.19,0,3,14.29,,0,Kepler-band,14.244,,0,5088,100,-100,0,6,,,,,1,0.72,0.04,-0.04,0,6,1,5/14/2014,Kepler
Kepler-153,b,Kepler-153 b,Transit,0,2,18.870227,3.90E-05,-3.90E-05,0,4,0.129,,,0,1,,,,,0,,,,,0,,,,,0,,0.261,0.157,-0.157,0,3,,,,,0,0,1,0,18h49m50.53s,+48d15m25.6s,282.460522,1.90E-05,48.257118,1.70E-05,2,465.53,3.48,-3.48,0,3,14.262,,0,Kepler-band,14.249,,0,5404,200,-200,0,6,,,,,1,0.89,0.54,-0.54,0,6,1,5/14/2014,Kepler
Kepler-153,c,Kepler-153 c,Transit,0,2,46.90232,0.000215,-0.000215,0,4,0.237,,,0,1,,,,,0,,,,,0,,,,,0,,0.226,0.136,-0.136,0,3,,,,,0,0,1,0,18h49m50.53s,+48d15m25.6s,282.460522,1.90E-05,48.257118,1.70E-05,2,465.53,3.48,-3.48,0,3,14.262,,0,Kepler-band,14.249,,0,5404,200,-200,0,6,,,,,1,0.89,0.54,-0.54,0,6,1,5/14/2014,Kepler
Kepler-154,b,Kepler-154 b,Transit,0,5,33.040532,0.000215,-0.000215,0,4,0.198,,,0,1,,,,,0,,,,,0,,,,,0,,0.202,0.039,-0.039,0,3,,,,,0,0,1,0,19h19m07.33s,+49d53m47.5s,289.780522,2.20E-05,49.89653,1.70E-05,2,939.89,17.4,-17.4,0,3,14.534,,0,Kepler-band,14.512,,0,5690,108,-108,0,6,,,,,2,1,0.19,-0.19,0,6,1,5/14/2014,Kepler
Kepler-154,c,Kepler-154 c,Transit,0,5,62.303276,0.000406,-0.000406,0,3,0.303,,,0,1,,,,,0,,,,,0,,,,,0,,0.263,0.055,-0.055,0,3,,,,,0,0,1,0,19h19m07.33s,+49d53m47.5s,289.780522,2.20E-05,49.89653,1.70E-05,2,939.89,17.4,-17.4,0,3,14.534,,0,Kepler-band,14.512,,0,5690,108,-108,0,6,,,,,2,1,0.19,-0.19,0,6,1,5/14/2014,Kepler
